contrast,odds.ratio,SE,df,null,t.ratio,p.value
Thicket GYM_HAR / Savanna SPI_AFR,1.5076634101258384,0.593610277762444,364,1,1.0427512521101892,0.9999806532095332
Savanna GYM_HAR / Forest SCU_MYR,1.3108907763525126,0.34255427592406307,364,1,1.0359443382220446,0.9999825975483858
Thicket EUC_RAC / Forest KRA_FLO,0.7432587944461619,0.21795476611123932,364,1,-1.0118294394837382,0.9999881390847486
Forest EUC_RAC / Forest SCU_MYR,0.7237631900161358,0.23544519627344715,364,1,-0.9938030071437687,0.9999911700793567
Savanna ACA_ROB / Savanna SPI_AFR,0.6639728404384094,0.27940515395155624,364,1,-0.9731609887710942,0.9999937603863196
Forest KRA_FLO / Savanna KRA_FLO,0.7463009725066335,0.2249450748573589,364,1,-0.9708472220260118,0.9999940023811265
Forest ACA_ROB / Savanna ACA_ROB,0.5858901693101988,0.32412128350473934,364,1,-0.9663984925107536,0.9999944436461052
Thicket GYM_HAR / Savanna KRA_FLO,0.814202141307012,0.17335235733311663,364,1,-0.9654122677581342,0.9999945373433399
Forest EUC_RAC / Forest SPI_AFR,0.657049067985826,0.28942976422647804,364,1,-0.9534553611545453,0.9999955636410575
Thicket GYM_HAR / Forest SCU_MYR,1.2512190949387711,0.296515238131968,364,1,0.9457225986294072,0.999996129646432
Forest KRA_FLO / Thicket KRA_FLO,1.3524719889268983,0.4346718196809019,364,1,0.9394611919332613,0.9999965384600149
Forest KRA_FLO / Thicket SCU_MYR,1.3600383464799026,0.48856865783350273,364,1,0.8560297983259446,0.9999992934031521
Savanna KRA_FLO / Forest SPI_AFR,1.3950906737912852,0.5442690869282629,364,1,0.853453892567536,0.9999993293811289
Savanna ACA_ROB / Thicket SPI_AFR,1.2622009093536042,0.35702141004643384,364,1,0.8232342558459174,0.9999996423350817
Savanna ACA_ROB / Forest EUC_RAC,0.761347265439179,0.25252555584033365,364,1,-0.8220684137301516,0.9999996511093789
Forest GYM_HAR / Forest KRA_FLO,1.2739726834009566,0.37572298848311314,364,1,0.8210301257267429,0.9999996587551412
Savanna EUC_RAC / Savanna KRA_FLO,0.8440911873218081,0.17507498120713594,364,1,-0.8171871412551641,0.9999996857222371
Forest GYM_HAR / Thicket GYM_HAR,1.1677285090933123,0.23261944873567286,364,1,0.7783892104161687,0.9999998669230443
Thicket ACA_ROB / Thicket EUC_RAC,0.7896205757375014,0.2506820601914469,364,1,-0.744012306660021,0.9999999406230548
Savanna SID_INE / Thicket SID_INE,1.2293987568877485,0.34198431122636314,364,1,0.7424371762813575,0.9999999428408408
Forest GYM_HAR / Forest SPI_AFR,1.3264062479870675,0.5086324461809477,364,1,0.7366306283361885,0.9999999503668447
Forest KRA_FLO / Savanna SPI_AFR,1.3819303734369712,0.6212555075567212,364,1,0.7195569098041342,0.9999999674885816
Forest GYM_HAR / Savanna SID_INE,0.8385745166028485,0.20757282624732803,364,1,-0.7112326945624811,0.9999999736645555
Thicket EUC_RAC / Forest SPI_AFR,0.7738494880383904,0.29598701817311385,364,1,-0.67029255424034,0.9999999910632864
Thicket EUC_RAC / Forest SCU_MYR,0.8524230553616753,0.2034689798062775,364,1,-0.6689392006393252,0.9999999913883446
Thicket ACA_ROB / Thicket KRA_FLO,0.7937555818159487,0.27422955141511685,364,1,-0.6685691695481815,0.9999999914752739
Savanna GYM_HAR / Savanna KRA_FLO,0.8530321199885917,0.20355557253576892,364,1,-0.6661391954046689,0.9999999920260452
Forest KRA_FLO / Thicket SID_INE,0.8092343593405124,0.26122157623764847,364,1,-0.6557191022787636,0.9999999940314789
Thicket KRA_FLO / Forest SPI_AFR,0.7698181811598656,0.3111927714502967,364,1,-0.6471395327688187,0.9999999953171017
Thicket SID_INE / Forest SPI_AFR,1.286595798322089,0.521757601309278,364,1,0.6214033133409984,0.9999999977894876
Thicket SCU_MYR / Forest SPI_AFR,0.7655354198505726,0.33327230368450217,364,1,-0.6137191542156594,0.9999999982456286
Thicket KRA_FLO / Forest SCU_MYR,0.847982425782397,0.23113016483014975,364,1,-0.6049767412259327,0.9999999986567446
Savanna EUC_RAC / Forest GYM_HAR,0.8878002083065796,0.17518674873214207,364,1,-0.6031039332371797,0.9999999987321506
Thicket ACA_ROB / Thicket SCU_MYR,0.7981962198409016,0.30143702513088577,364,1,-0.5968546305069928,0.9999999989560137
Forest ACA_ROB / Thicket SPI_AFR,0.73951110448467,0.3987865816661093,364,1,-0.5595957937671713,0.9999999996882267
Forest EUC_RAC / Thicket EUC_RAC,0.8490657138655754,0.2520696273350118,364,1,-0.5511295622586423,0.9999999997660856
Forest SPI_AFR / Savanna SPI_AFR,1.3273019097976606,0.6840220844410705,364,1,0.549431387648693,0.9999999997793199
Savanna ACA_ROB / Thicket ACA_ROB,0.8186638992100155,0.2999062694901108,364,1,-0.5461694123930391,0.9999999998027931
