species,site,leaf_age,herbivory_type,side,habitat,individual,herbivory_percentage_median,herbivory_percentage_mean
ACA_NIL,S52,old,chew_perc,up,Savanna,1,0,0.008834702714285714
ACA_NIL,S52,old,chew_perc,up,Savanna,2,0,0
ACA_NIL,S52,old,chew_perc,up,Savanna,3,0,0.9788930428947369
ACA_NIL,S55,old,sap_min_perc,up,Savanna,1,0,0
ACA_NIL,S55,old,chew_perc,up,Savanna,1,0,0
ACA_NIL,S58,old,sap_min_perc,up,Savanna,1,0,0
ACA_NIL,S58,old,sap_min_perc,up,Savanna,2,0,0
ACA_NIL,S58,old,sap_min_perc,up,Savanna,3,0,0
ACA_NIL,S58,old,chew_perc,up,Savanna,1,0,0
ACA_NIL,S58,old,chew_perc,up,Savanna,2,0,0
ACA_NIL,S58,old,chew_perc,up,Savanna,3,0,0
ACA_NIL,S7,old,sap_min_perc,up,Savanna,1,0,0
ACA_NIL,S7,old,chew_perc,up,Savanna,1,0,0
ACA_NIL,S8,old,sap_min_perc,up,Savanna,1,0,0.23159636061290323
ACA_NIL,S8,old,sap_min_perc,up,Savanna,2,0,0.3923444976
ACA_NIL,S8,old,chew_perc,up,Savanna,1,0,0
ACA_NIL,S8,old,chew_perc,up,Savanna,2,0,0
ACA_NIL,S9,old,sap_min_perc,up,Savanna,1,0,0.4166666666666667
ACA_NIL,S9,old,sap_min_perc,up,Savanna,2,0,0.15673981189655173
ACA_NIL,S9,old,sap_min_perc,up,Savanna,3,0,0.33093439599999996
ACA_NIL,S9,old,chew_perc,up,Savanna,1,0,0
ACA_NIL,S9,old,chew_perc,up,Savanna,2,0,0
ACA_NIL,S9,old,chew_perc,up,Savanna,3,0,0.30333670374418603
ACA_NIL,T23,old,sap_min_perc,up,Thicket,1,0,0.17283950616
ACA_NIL,T23,old,chew_perc,up,Thicket,1,0,0.36288814064
ACA_NIL,T23,young,sap_min_perc,up,Thicket,1,0,0.06401841218181818
ACA_NIL,T23,young,chew_perc,up,Thicket,1,0.243309002,0.26277833245454546
ACA_NIL,T9,old,sap_min_perc,low,Thicket,3,0.2930390375,1.2246514204615384
ACA_NIL,T9,old,sap_min_perc,up,Thicket,1,0.53667263,1.718579199116279
ACA_NIL,T9,old,sap_min_perc,up,Thicket,2,0,0.17744350555263158
ACA_NIL,T9,old,sap_min_perc,up,Thicket,3,0.37623623,2.459500025977273
ACA_NIL,T9,old,chew_perc,low,Thicket,3,0.3055783815,1.2252338457692307
