species,site,leaf_age,herbivory_type,side,habitat,individual,mean_herbivory,mean_leaf_area,herbivory_standardized
ACA_CAF,S19,old,chew_herbivory,up,Savanna,1,2.5e-5,0.020825,0.12004801920768307
ACA_CAF,S19,old,chew_herbivory,up,Savanna,2,0,0.015484848484848485,0
ACA_CAF,S20,old,sap_miner_herbivory,up,Savanna,1,0,0.09468750000000001,0
ACA_CAF,S20,old,chew_herbivory,up,Savanna,1,5e-4,0.09468750000000001,0.528052805280528
ACA_CAF,S21,old,sap_miner_herbivory,up,Savanna,1,0,0.09136363636363637,0
ACA_CAF,S21,old,sap_miner_herbivory,up,Savanna,2,0,0.1897843137254902,0
ACA_CAF,S21,old,sap_miner_herbivory,up,Savanna,3,0,0.0376,0
ACA_CAF,S21,old,chew_herbivory,up,Savanna,1,0.0020454545454545456,0.09136363636363637,2.238805970149254
ACA_CAF,S21,old,chew_herbivory,up,Savanna,2,0.0012941176470588234,0.1897843137254902,0.6818886248579398
ACA_CAF,S21,old,chew_herbivory,up,Savanna,3,0,0.0376,0
ACA_CAF,S27,old,sap_miner_herbivory,up,Savanna,1,1.4705882352941177e-5,0.10352941176470588,0.014204545454545454
ACA_CAF,S27,old,sap_miner_herbivory,up,Savanna,2,0.05322222222222222,0.6766666666666666,7.86535303776683
ACA_CAF,S27,old,chew_herbivory,up,Savanna,1,1.7647058823529413e-4,0.10352941176470588,0.17045454545454547
ACA_CAF,S27,old,chew_herbivory,up,Savanna,2,0,0.6766666666666666,0
ACA_CAF,S49,old,sap_miner_herbivory,up,Savanna,1,0.003185185185185185,1.3704814814814814,0.23241358808745238
ACA_CAF,S49,old,sap_miner_herbivory,up,Savanna,2,0.03103076923076923,1.0919076923076922,2.8418857609828954
ACA_CAF,S49,old,chew_herbivory,up,Savanna,1,0,1.3704814814814814,0
ACA_CAF,S49,old,chew_herbivory,up,Savanna,2,0,1.0919076923076922,0
ACA_CAF,S7,old,sap_miner_herbivory,up,Savanna,1,0,0.02441176470588235,0
ACA_CAF,S7,old,sap_miner_herbivory,up,Savanna,2,6.956521739130435e-4,0.02769565217391304,2.5117739403453694
ACA_CAF,S7,old,chew_herbivory,up,Savanna,1,5.882352941176471e-5,0.02441176470588235,0.24096385542168677
ACA_CAF,S7,old,chew_herbivory,up,Savanna,2,8.260869565217391e-4,0.02769565217391304,2.9827315541601256
ACA_CAF,S8,old,sap_miner_herbivory,up,Savanna,1,0,0.02062962962962963,0
ACA_CAF,S8,old,sap_miner_herbivory,up,Savanna,2,0,0.02209090909090909,0
ACA_CAF,S8,old,sap_miner_herbivory,up,Savanna,3,1.3333333333333334e-4,0.03013333333333333,0.4424778761061947
ACA_CAF,S8,old,chew_herbivory,up,Savanna,1,3.7037037037037037e-5,0.02062962962962963,0.17953321364452424
ACA_CAF,S8,old,chew_herbivory,up,Savanna,2,9.090909090909092e-5,0.02209090909090909,0.41152263374485604
ACA_CAF,S8,old,chew_herbivory,up,Savanna,3,0,0.03013333333333333,0
ACA_GER,S49,old,sap_miner_herbivory,up,Savanna,1,0.06475,0.45575,14.207350521119036
ACA_GER,S49,old,sap_miner_herbivory,up,Savanna,2,0.003833333333333333,0.4548333333333333,0.8427995602784902
ACA_GER,S49,old,sap_miner_herbivory,up,Savanna,3,0.017,0.35850000000000004,4.741980474198047
ACA_GER,S49,old,chew_herbivory,up,Savanna,1,0,0.45575,0
ACA_GER,S49,old,chew_herbivory,up,Savanna,2,0,0.4548333333333333,0
ACA_GER,S49,old,chew_herbivory,up,Savanna,3,0,0.35850000000000004,0
ACA_GRA,S49,old,sap_miner_herbivory,up,Savanna,1,0.022,0.7494999999999999,2.935290193462308
ACA_GRA,S49,old,sap_miner_herbivory,up,Savanna,2,0.011000000000000001,0.618,1.7799352750809063
ACA_GRA,S49,old,sap_miner_herbivory,up,Savanna,3,0.008571428571428572,0.32392857142857145,2.646085997794928
ACA_GRA,S49,old,chew_herbivory,up,Savanna,1,0,0.7494999999999999,0
ACA_GRA,S49,old,chew_herbivory,up,Savanna,2,0,0.618,0
ACA_GRA,S49,old,chew_herbivory,up,Savanna,3,0,0.32392857142857145,0
ACA_GRA,S50,old,sap_miner_herbivory,up,Savanna,1,0,0.11072727272727273,0
ACA_GRA,S50,old,chew_herbivory,up,Savanna,1,0,0.11072727272727273,0
ACA_GRA,S52,old,sap_miner_herbivory,up,Savanna,1,0,0.1971,0
ACA_GRA,S52,old,chew_herbivory,up,Savanna,1,0.007775,0.1971,3.944698122780314
ACA_GRA,S53,old,sap_miner_herbivory,up,Savanna,1,5e-4,0.06055555555555556,0.8256880733944955
ACA_GRA,S53,old,sap_miner_herbivory,up,Savanna,2,8.421052631578948e-4,0.05068421052631579,1.6614745586708204
ACA_GRA,S53,old,sap_miner_herbivory,up,Savanna,3,4.7999999999999996e-4,0.05252,0.9139375476009138
ACA_GRA,S53,old,chew_herbivory,up,Savanna,1,2.2222222222222223e-4,0.06055555555555556,0.3669724770642202
ACA_GRA,S53,old,chew_herbivory,up,Savanna,2,1.5789473684210527e-4,0.05068421052631579,0.3115264797507788
ACA_GRA,S53,old,chew_herbivory,up,Savanna,3,3.6e-4,0.05252,0.6854531607006855
ACA_GRA,S55,old,sap_miner_herbivory,up,Savanna,1,9.6e-4,0.07084,1.355166572557877
