(Intercept),Avg_Rain,Herb_type,"poly(elevation, 2)",X20yr_fire,Avg_Rain:Herb_type,"Avg_Rain:poly(elevation, 2)",Avg_Rain:X20yr_fire,"Herb_type:poly(elevation, 2)",Herb_type:X20yr_fire,"poly(elevation, 2):X20yr_fire","Avg_Rain:Herb_type:poly(elevation, 2)",Avg_Rain:Herb_type:X20yr_fire,"Avg_Rain:poly(elevation, 2):X20yr_fire","Herb_type:poly(elevation, 2):X20yr_fire","Avg_Rain:Herb_type:poly(elevation, 2):X20yr_fire",df,logLik,AICc,delta,weight
-8.605016997298655,0.011800490144300136,+,+,0.38220753262904134,+,NA,NA,+,+,NA,NA,NA,NA,NA,NA,11,-101.35423024015019,232.04179381363372,8.968078154961177,0.00118263803411286
101.63001355128297,-0.13971275865229982,+,+,-9.843745890372425,NA,+,0.014045347679189642,+,+,NA,NA,NA,NA,NA,NA,13,-97.67106163194546,232.04800561683209,8.974289958159545,0.0011789705750831
-4.897478094860352,0.00884052095027365,+,+,0.22863940145750988,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,10,-103.07686260660702,232.09967115915998,9.025955500487441,0.00114890451482048
1.066847281428754,NA,+,+,0.3067360772436391,NA,NA,NA,+,NA,+,NA,NA,NA,NA,NA,10,-103.09896873372858,232.1438834134031,9.070167754730562,0.0011237853521959
82.28461021634479,-0.11124045007759605,+,+,-8.07310963335627,NA,NA,0.011426521885038845,+,NA,+,NA,NA,NA,NA,NA,12,-99.651783117499,232.2178519492837,9.144136290611158,0.00108298216257204
-5.7849054785782,0.007640705701589412,+,+,0.40402156345759566,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,11,-101.44662011605197,232.2265735654373,9.152857906764751,0.00107826976760332
-11.849684979334704,0.016695187547277862,NA,+,0.2323547707193196,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-106.34878335531234,232.38987440293238,9.316158744259837,0.000993727028429016
0.26615978142875385,NA,NA,+,0.30673607724363905,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,7,-107.88899292307367,232.57798584614736,9.504270187474816,0.00090452218151746
-8.997454657360404,0.014247083450273717,+,+,0.22863940145751022,NA,NA,NA,+,NA,+,NA,NA,NA,NA,NA,11,-101.67767794359206,232.68868922051746,9.61497356184492,0.000855815778427211
87.54870221710088,-0.12029493192328393,+,+,-7.9014428406179675,+,NA,0.011426521885038806,NA,+,+,NA,NA,NA,NA,NA,12,-99.90970067255442,232.73368705939455,9.659971400722014,0.000836775840354013
81.48392271634573,-0.11124045007759734,NA,+,-8.073109633356344,NA,NA,0.01142652188503895,NA,NA,+,NA,NA,NA,NA,NA,9,-105.10331709409371,232.94347629345057,9.869760634778032,0.000753449205511375
102.76111472520428,-0.13992358006294237,+,+,-9.947806062249304,+,+,0.014045347679189664,+,NA,NA,NA,NA,NA,NA,NA,13,-98.13309512345407,232.9720725998493,9.898356941176758,0.000742752924103999
-9.798142157360404,0.014247083450273718,NA,+,0.22863940145750977,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,8,-106.7311701047569,233.15464790182148,10.080932243148936,0.000677951533051574
-3.7333626566039495,0.005192601604585335,+,+,0.40030619419578517,+,NA,NA,NA,+,+,NA,NA,NA,NA,NA,11,-101.91482044990403,233.1629742331414,10.089258574468857,0.00067513497547598
104.38082955274936,-0.14399519460579024,+,+,-9.468583320271904,+,+,0.013623618641855231,NA,+,NA,NA,+,NA,NA,NA,13,-98.40387625637196,233.5136348656851,10.439919207012565,0.000566559620356844
105.1967797706694,-0.1417413629606838,+,+,-10.854706337800867,NA,+,0.015052480820703162,NA,+,+,NA,NA,NA,NA,NA,13,-98.46811043494915,233.64210322283947,10.568387564166926,0.000531311320128375
-11.70783845371926,0.01946553784903417,+,+,0.07286505249469057,NA,+,NA,NA,NA,+,NA,NA,NA,NA,NA,11,-102.4041637500523,234.14166083343795,11.067945174765413,0.000413877209492026
110.39311900922574,-0.14714792546068384,+,+,-10.972173767378342,+,+,0.015052480820703179,NA,NA,+,NA,NA,NA,NA,NA,13,-98.76364873042125,234.2331798137837,11.159464155111152,0.000395365180036357
23.589466320938644,-0.0324371734283556,+,NA,-1.2473284077998303,+,NA,0.002324408935910564,NA,+,NA,NA,+,NA,NA,NA,9,-105.80690448593015,234.35065107712344,11.276935418450904,0.000372811978162526
-12.020225750185386,0.0166951875472778,+,+,0.33641494259618415,NA,+,NA,+,+,NA,NA,NA,NA,NA,NA,12,-100.79830615704353,234.51089802837276,11.437182369700224,0.000344106339802038
-13.924120428368221,0.023141798027347674,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,11,-102.62615617039047,234.5856456741143,11.511930015441749,0.000331483128550613
0.09561901057803046,NA,+,+,0.4107962491205023,NA,NA,NA,+,+,+,NA,NA,NA,NA,NA,11,-102.72358271137671,234.78049875608676,11.706783097414217,0.000300711211232176
106.29314244672523,-0.1417413629606831,+,+,-10.972173767378282,NA,+,0.015052480820703096,+,NA,+,NA,NA,NA,NA,NA,14,-97.07911631847247,234.88550536421766,11.811789705545124,0.000285330189416395
81.31338194549406,-0.11124045007759605,+,+,-7.969049461479404,NA,NA,0.011426521885038843,+,+,+,NA,NA,NA,NA,NA,13,-99.21788786970522,235.14165809235163,12.067942433679093,0.000251029560959834
88.50693449674262,-0.12177190890665657,+,+,-8.372170213947822,+,NA,0.012054452877799049,+,+,NA,NA,+,NA,NA,NA,13,-99.24179492461099,235.18947220216313,12.11575654349059,0.000245099352815688
