contrast,odds.ratio,SE,df,t.ratio,p.value
Savanna GYM_HAR / Thicket SID_INE,0.8642086630109068,0.2268057295704639,364,-0.5560860552758223,0.9999999997230589
Thicket SID_INE / Forest SPI_AFR,1.2427202699356774,0.49603278343750495,364,0.5444126524188034,0.999999999814431
Forest GYM_HAR / Forest SPI_AFR,1.2236859518286758,0.46283841336928216,364,0.5337122191702451,0.9999999998725415
Savanna ACA_ROB / Thicket SPI_AFR,1.155219999434652,0.3272637541882499,364,0.5093372472088945,0.999999999947517
Forest GYM_HAR / Savanna KRA_FLO,0.8969678628817915,0.19516739276557568,364,-0.49973522141520876,0.9999999999634738
Forest ACA_ROB / Thicket SPI_AFR,0.7710140457596111,0.4136965297121058,364,-0.48465765755182144,0.999999999979652
Thicket EUC_RAC / Forest SCU_MYR,0.8917124842917962,0.21151434058556076,364,-0.48318486467195876,0.9999999999808269
Forest SCU_MYR / Savanna SPI_AFR,1.2200291928250677,0.5079204787067995,364,0.47769888404486416,0.9999999999845884
Thicket ACA_ROB / Forest EUC_RAC,0.8337899342583203,0.3173355236494082,364,-0.4776053784251432,0.9999999999846461
Forest SCU_MYR / Thicket SCU_MYR,1.1468014606887875,0.3574412946168765,364,0.439471082270037,0.9999999999970377
Forest SCU_MYR / Forest SPI_AFR,0.844238129898681,0.33590210599085346,364,-0.42556141053386537,0.9999999999984821
Thicket ACA_ROB / Savanna SPI_AFR,0.8496244968594784,0.393501822940765,364,-0.35185474581937165,1
Forest EUC_RAC / Thicket EUC_RAC,0.9366456236910333,0.2712852884407813,364,-0.2259750634270992,1
Forest EUC_RAC / Thicket KRA_FLO,0.9825612609310772,0.31443412629533213,364,-0.05497428918598727,1
Forest EUC_RAC / Thicket SCU_MYR,0.9578299058901859,0.34120235225300527,364,-0.12094924431740614,1
Forest EUC_RAC / Savanna SPI_AFR,1.018991069513502,0.4575377340738367,364,0.04189877163940883,1
Savanna EUC_RAC / Forest GYM_HAR,0.9336635829856245,0.18332947768856228,364,-0.34956638903892984,1
Savanna EUC_RAC / Savanna GYM_HAR,1.0638206014298937,0.23365642434648315,364,0.28167487205490666,1
Savanna EUC_RAC / Thicket GYM_HAR,1.0559528511261045,0.1985141162303265,364,0.2896005980520948,1
Savanna EUC_RAC / Forest KRA_FLO,1.1096850024320069,0.31608719055642176,364,0.3653795359029656,1
Savanna EUC_RAC / Thicket SID_INE,0.9193629796451872,0.21337359800703487,364,-0.36225083574977535,1
Savanna EUC_RAC / Forest SPI_AFR,1.1425110102335356,0.4252964358835411,364,0.35790331928530433,1
Thicket EUC_RAC / Thicket KRA_FLO,1.0490213545856377,0.24999999445510432,364,0.20081494407317724,1
Thicket EUC_RAC / Thicket SCU_MYR,1.0226171795002594,0.2894701967744199,364,0.07901000317264903,1
Thicket EUC_RAC / Savanna SPI_AFR,1.0879152624425559,0.4295026772462058,364,0.21343589512235797,1
Forest GYM_HAR / Thicket SID_INE,0.9846833446210813,0.2397651238962394,364,-0.06339016974559805,1
Savanna GYM_HAR / Thicket GYM_HAR,0.9926042508546893,0.22053813765062363,364,-0.033410697123213484,1
Savanna GYM_HAR / Forest KRA_FLO,1.043112909207122,0.32406315437171773,364,0.1358660956119985,1
Savanna GYM_HAR / Forest SPI_AFR,1.073969622977665,0.4210293275161426,364,0.18203081253503328,1
Thicket GYM_HAR / Forest KRA_FLO,1.0508849909809896,0.3047517205406186,364,0.17114986249647302,1
Thicket GYM_HAR / Forest SPI_AFR,1.0819716136143034,0.40706976766321856,364,0.20940654603391648,1
Forest KRA_FLO / Forest SPI_AFR,1.0295813746509928,0.4438426072018409,364,0.0676245396269606,1
Savanna KRA_FLO / Savanna SID_INE,0.9048990486571494,0.22818813773913027,364,-0.3962882253285596,1
Savanna KRA_FLO / Thicket SID_INE,1.0977911086551932,0.27426152580264923,364,0.3734537522665433,1
Thicket KRA_FLO / Thicket SCU_MYR,0.9748297067834164,0.30564585268205624,364,-0.08130596067210745,1
Thicket KRA_FLO / Savanna SPI_AFR,1.0370763737905806,0.43257840866107616,364,0.08727981166811011,1
Thicket SCU_MYR / Savanna SPI_AFR,1.0638538880934965,0.472334986017984,364,0.13941480496807188,1
