species,site,herbivory_type,habitat,individual,mean_herbivory,mean_leaf_area,herbivory_standardized,herbratio
GYM_HAR,F4,chew_herbivory,Forest,2,0.899,11.369833333333332,7.90688811035049,0.07916888110350491
GYM_HAR,F5,sap_miner_herbivory,Forest,1,0,12.188699999999999,0,1e-4
GYM_HAR,F5,sap_miner_herbivory,Forest,2,0,8.730708333333334,0,1e-4
GYM_HAR,F5,sap_miner_herbivory,Forest,3,0,9.482333333333333,0,1e-4
GYM_HAR,F5,chew_herbivory,Forest,1,1.68305,12.188699999999999,13.808281441006836,0.13818281441006836
GYM_HAR,F5,chew_herbivory,Forest,2,1.0300416666666665,8.730708333333334,11.79791635844743,0.1180791635844743
GYM_HAR,F5,chew_herbivory,Forest,3,1.4501904761904763,9.482333333333333,15.293603643869051,0.15303603643869051
GYM_HAR,F6,sap_miner_herbivory,Forest,1,0,7.5264,0,1e-4
GYM_HAR,F6,sap_miner_herbivory,Forest,2,0,10.258565217391304,0,1e-4
GYM_HAR,F6,chew_herbivory,Forest,1,0.69304,7.5264,9.20812074829932,0.0921812074829932
GYM_HAR,F6,chew_herbivory,Forest,2,1.538,10.258565217391304,14.992349976901593,0.1500234997690159
GYM_HAR,F7,sap_miner_herbivory,Forest,1,0.1690909090909091,2.946409090909091,5.738880918220946,0.057488809182209465
GYM_HAR,F7,sap_miner_herbivory,Forest,2,0.21459375,3.313625,6.476102455769738,0.06486102455769739
GYM_HAR,F7,sap_miner_herbivory,Forest,3,0,2.250452380952381,0,1e-4
GYM_HAR,F7,chew_herbivory,Forest,1,0.22879545454545455,2.946409090909091,7.765230403727187,0.07775230403727187
GYM_HAR,F7,chew_herbivory,Forest,2,0.2240625,3.313625,6.761854464521483,0.06771854464521483
GYM_HAR,F7,chew_herbivory,Forest,3,0.0375952380952381,2.250452380952381,1.670563590389234,0.01680563590389234
GYM_HAR,S20,sap_miner_herbivory,Savanna,1,0.06930555555555555,2.7525555555555554,2.5178621886731523,0.025278621886731523
GYM_HAR,S20,chew_herbivory,Savanna,1,0.08041666666666666,2.7525555555555554,2.921527469422355,0.02931527469422355
GYM_HAR,S30,sap_miner_herbivory,Savanna,1,0.06373529411764708,3.1545882352941175,2.0203997911538756,0.020303997911538755
GYM_HAR,S30,sap_miner_herbivory,Savanna,2,0.01608571428571431,1.3447428571428572,1.1961925806314555,0.012061925806314554
GYM_HAR,S30,sap_miner_herbivory,Savanna,3,0.1450344827586207,2.6135862068965516,5.549251919677019,0.05559251919677019
GYM_HAR,S30,chew_herbivory,Savanna,1,0.0715,3.1545882352941175,2.2665398672335346,0.022765398672335346
GYM_HAR,S30,chew_herbivory,Savanna,2,0.03202857142857143,1.3447428571428572,2.3817617813283474,0.023917617813283474
GYM_HAR,S30,chew_herbivory,Savanna,3,0.510448275862069,2.6135862068965516,19.530569702087238,0.19540569702087238
GYM_HAR,S52,sap_miner_herbivory,Savanna,1,0,3.253875,0,1e-4
GYM_HAR,S52,sap_miner_herbivory,Savanna,2,0,2.2153023255813955,0,1e-4
GYM_HAR,S52,chew_herbivory,Savanna,1,0.074,3.253875,2.2742115170373784,0.022842115170373784
GYM_HAR,S52,chew_herbivory,Savanna,2,0.08532558139534883,2.2153023255813955,3.851645006193705,0.038616450061937056
GYM_HAR,S53,sap_miner_herbivory,Savanna,1,0.011774999999999999,2.0149,0.584396247952752,0.005943962479527521
GYM_HAR,S53,sap_miner_herbivory,Savanna,2,0.004162162162162163,2.5188378378378378,0.16524137043037868,0.0017524137043037867
GYM_HAR,S53,sap_miner_herbivory,Savanna,3,0.0411578947368421,2.866815789473684,1.4356658313368031,0.01445665831336803
GYM_HAR,S53,chew_herbivory,Savanna,1,0.011175,2.0149,0.5546180951908284,0.005646180951908284
GYM_HAR,S53,chew_herbivory,Savanna,2,0.02435135135135135,2.5188378378378378,0.9667693166089036,0.009767693166089036
GYM_HAR,S53,chew_herbivory,Savanna,3,0.04178947368421053,2.866815789473684,1.4576965090555267,0.014676965090555267
GYM_HAR,S58,sap_miner_herbivory,Savanna,1,0.02484090909090909,2.2008636363636365,1.1286891509531383,0.011386891509531382
GYM_HAR,S58,sap_miner_herbivory,Savanna,2,0.05036585365853658,1.9443170731707318,2.5904135880677894,0.026004135880677893
GYM_HAR,S58,chew_herbivory,Savanna,1,0.024409090909090908,2.2008636363636365,1.1090687540015283,0.011190687540015282
GYM_HAR,S58,chew_herbivory,Savanna,2,0.04975609756097561,1.9443170731707318,2.5590526487449354,0.025690526487449353
GYM_HAR,T12,sap_miner_herbivory,Thicket,1,0.0013913043478260868,3.229326086956522,0.043083427017347804,5.308342701734781e-4
GYM_HAR,T12,sap_miner_herbivory,Thicket,2,0.003836734693877551,3.1766122448979592,0.12078070592467909,0.0013078070592467909
GYM_HAR,T12,sap_miner_herbivory,Thicket,3,5.945945945945946e-4,3.970945945945946,0.014973625999659691,2.497362599965969e-4
GYM_HAR,T12,chew_herbivory,Thicket,1,0.10571739130434783,3.229326086956522,3.2736672747712876,0.03283667274771288
GYM_HAR,T12,chew_herbivory,Thicket,2,0.14279591836734692,3.1766122448979592,4.4952265923137205,0.04505226592313721
GYM_HAR,T12,chew_herbivory,Thicket,3,0.17251351351351352,3.970945945945946,4.344393397992173,0.04354393397992173
GYM_HAR,T13,sap_miner_herbivory,Thicket,1,0.2711219512195122,4.558634146341463,5.947438257073151,0.05957438257073151
GYM_HAR,T13,sap_miner_herbivory,Thicket,2,0.10367441860465117,3,3.4558139534883723,0.034658139534883725
GYM_HAR,T13,sap_miner_herbivory,Thicket,3,0.1684186046511628,3.3664651162790697,5.002832313240028,0.05012832313240029
GYM_HAR,T13,chew_herbivory,Thicket,1,0.21629268292682927,4.558634146341463,4.744681761760049,0.04754681761760049
GYM_HAR,T13,chew_herbivory,Thicket,2,0.12195348837209302,3,4.065116279069768,0.04075116279069768
GYM_HAR,T13,chew_herbivory,Thicket,3,0.2505813953488372,3.3664651162790697,7.443457356415535,0.07453457356415535
GYM_HAR,T17,sap_miner_herbivory,Thicket,1,0.002,5.112551724137931,0.03911940862245725,4.911940862245725e-4
GYM_HAR,T17,sap_miner_herbivory,Thicket,2,0.015400000000000039,4.571371428571428,0.3368792109901383,0.0034687921099013828
GYM_HAR,T17,chew_herbivory,Thicket,1,0.12296551724137932,5.112551724137931,2.4051691577186642,0.02415169157718664
GYM_HAR,T17,chew_herbivory,Thicket,2,0.47622857142857145,4.571371428571428,10.417630220377756,0.10427630220377757
GYM_HAR,T22,sap_miner_herbivory,Thicket,1,0,3.8709,0,1e-4
GYM_HAR,T22,sap_miner_herbivory,Thicket,2,0,4.749842105263158,0,1e-4
GYM_HAR,T22,sap_miner_herbivory,Thicket,3,0,2.7498846153846155,0,1e-4
GYM_HAR,T22,chew_herbivory,Thicket,1,0.43806666666666666,3.8709,11.31692026832692,0.11326920268326919
