species,site,leaf_age,side,habitat,individual,mean_leaf_area,mean_total_herbivory,total_herbivory_standardized
TAR_CAM,S5,old,low,Savanna,2,3.08225,0.5165,16.757239029929433
TAR_CAM,S5,old,low,Savanna,3,0.7677999999999999,0.11026666666666667,14.361378831292873
TAR_CAM,S5,old,up,Savanna,1,3.962095238095238,0.24704761904761904,6.235277150137013
TAR_CAM,S5,old,up,Savanna,2,3.5022380952380954,0.5235714285714286,14.949624049927257
TAR_CAM,S5,old,up,Savanna,3,0.7523333333333333,0.0635,8.44040762073549
TAR_CAM,S5,young,up,Savanna,1,2.5585,0.28800000000000003,11.256595661520423
TAR_CAM,T12,old,low,Thicket,1,7.3645,0.001,0.013578654355353386
TAR_CAM,T12,old,low,Thicket,2,4.497166666666667,0.17933333333333332,3.9876959567134858
TAR_CAM,T12,old,low,Thicket,3,3.3493,0.0119,0.3552981219956409
TAR_CAM,T12,old,up,Thicket,1,5.29976,0.21772,4.108110555949704
TAR_CAM,T12,old,up,Thicket,2,4.735035714285714,0.39467857142857143,8.335281827712869
TAR_CAM,T12,old,up,Thicket,3,3.10953125,0.04321875,1.3898799055323854
TAR_CAM,T12,young,up,Thicket,1,3.2608333333333333,0.0035,0.10733452593917711
TAR_CAM,T12,young,up,Thicket,2,2.1542307692307694,0.03546153846153846,1.646134618818068
TAR_CAM,T12,young,up,Thicket,3,3.04,0.015181818181818182,0.499401913875598
TAR_CAM,T9,old,low,Thicket,1,6.3862,0.3306,5.176787447934609
TAR_CAM,T9,old,low,Thicket,2,6.0432,0.1208,1.9989409584326188
TAR_CAM,T9,old,low,Thicket,3,6.024,0.08083333333333334,1.3418548030101816
TAR_CAM,T9,old,up,Thicket,1,9.5034375,0.290875,3.0607346026108972
TAR_CAM,T9,old,up,Thicket,2,6.725055555555556,0.04527777777777778,0.6732699440731593
TAR_CAM,T9,old,up,Thicket,3,6.337666666666666,0.13561111111111113,2.139764021108365
TAR_CAM,T9,young,up,Thicket,1,5.294,0.12242857142857144,2.312591073452426
TAR_CAM,T9,young,up,Thicket,2,2.8838461538461537,0.028923076923076923,1.0029341157642038
TAR_CAM,T9,young,up,Thicket,3,4.7336,0.0502,1.060503633598107
TAR_PAV,F3,old,low,Forest,1,18.145,0.061,0.33618076605125374
TAR_PAV,F3,old,low,Forest,2,18.378,0.15933333333333333,0.8669786338738347
