species,site,herbivory_type,habitat,individual,herbivory_percentage_median,herbivory_percentage_mean,herbratio
GYM_HAR,F7,chew_perc,Forest,3,0.0410027565,1.7618694645952382,0.017718694645952382
GYM_HAR,S20,sap_min_perc,Savanna,1,0.025562382,2.3426758813333333,0.023526758813333333
GYM_HAR,S20,chew_perc,Savanna,1,0.034864348,2.1475299339444445,0.021575299339444444
GYM_HAR,S30,sap_min_perc,Savanna,1,0.041904404,2.199665961500001,0.02209665961500001
GYM_HAR,S30,sap_min_perc,Savanna,2,2.11e-14,0.9376614941142871,0.00947661494114287
GYM_HAR,S30,sap_min_perc,Savanna,3,0.094517958,3.091093573655172,0.031010935736551722
GYM_HAR,S30,chew_perc,Savanna,1,0.0555808785,2.818816127529412,0.02828816127529412
GYM_HAR,S30,chew_perc,Savanna,2,0.074626866,2.0663750091999997,0.020763750091999995
GYM_HAR,S30,chew_perc,Savanna,3,0.699953336,13.32047595851724,0.1333047595851724
GYM_HAR,S52,sap_min_perc,Savanna,1,0,0,1e-4
GYM_HAR,S52,sap_min_perc,Savanna,2,0,0,1e-4
GYM_HAR,S52,chew_perc,Savanna,1,0,2.050914638375,0.02060914638375
GYM_HAR,S52,chew_perc,Savanna,2,0.074019245,4.085320953953488,0.040953209539534886
GYM_HAR,S53,sap_min_perc,Savanna,1,0.047774711,0.467175041,0.00477175041
GYM_HAR,S53,sap_min_perc,Savanna,2,0,0.16032395924324325,0.0017032395924324326
GYM_HAR,S53,sap_min_perc,Savanna,3,0.183192085,1.6847299934210527,0.016947299934210527
GYM_HAR,S53,chew_perc,Savanna,1,0.055680133,0.425323102375,0.00435323102375
GYM_HAR,S53,chew_perc,Savanna,2,0.046168052,0.9297382032162163,0.009397382032162161
GYM_HAR,S53,chew_perc,Savanna,3,0.106949084,1.7421643194210525,0.017521643194210526
GYM_HAR,S58,sap_min_perc,Savanna,1,0.070278143,1.8574719922954546,0.018674719922954545
GYM_HAR,S58,sap_min_perc,Savanna,2,0.098087298,2.4079419847317074,0.024179419847317075
GYM_HAR,S58,chew_perc,Savanna,1,0.0861370835,1.8081545757500002,0.0181815457575
GYM_HAR,S58,chew_perc,Savanna,2,0.088495575,2.306028346219512,0.02316028346219512
GYM_HAR,T12,sap_min_perc,Thicket,1,0,0.042630503934782606,5.263050393478261e-4
GYM_HAR,T12,sap_min_perc,Thicket,2,0,0.15888003857142857,0.0016888003857142857
GYM_HAR,T12,sap_min_perc,Thicket,3,0,0.014689699594594595,2.4689699594594597e-4
