species,site,herbivory_type,habitat,individual,mean_herbivory,mean_leaf_area,herbivory_standardized
ACA_KAR,S9,sap_miner_herbivory,Savanna,3,0.001409090909090909,0.07190909090909091,1.9595448798988622
ACA_KAR,S9,chew_herbivory,Savanna,1,4.285714285714286e-4,0.057107142857142856,0.75046904315197
ACA_KAR,S9,chew_herbivory,Savanna,2,0,0.068,0
ACA_KAR,S9,chew_herbivory,Savanna,3,4.545454545454546e-5,0.07190909090909091,0.06321112515802782
ACA_KAR,T23,sap_miner_herbivory,Thicket,1,0,0.06238888888888889,0
ACA_KAR,T23,sap_miner_herbivory,Thicket,2,5.789473684210527e-4,0.08142105263157895,0.711053652230123
ACA_KAR,T23,chew_herbivory,Thicket,1,0,0.06238888888888889,0
ACA_KAR,T23,chew_herbivory,Thicket,2,1.0526315789473685e-4,0.08142105263157895,0.1292824822236587
ACA_NIG,S49,sap_miner_herbivory,Savanna,1,0.01485897435897436,0.5311025641025641,2.7977598609568872
ACA_NIG,S49,chew_herbivory,Savanna,1,0,0.5311025641025641,0
ACA_NIG,S50,sap_miner_herbivory,Savanna,1,0.007314285714285714,0.6727857142857143,1.0871642424885868
ACA_NIG,S50,sap_miner_herbivory,Savanna,2,0.004929577464788733,0.6309577464788733,0.7812848787892318
ACA_NIG,S50,sap_miner_herbivory,Savanna,3,0.0012567567567567568,0.5105540540540541,0.24615547497419338
ACA_NIG,S50,chew_herbivory,Savanna,1,0.024114285714285713,0.6727857142857143,3.5842446119545595
ACA_NIG,S50,chew_herbivory,Savanna,2,0.026450704225352114,0.6309577464788733,4.192151435331935
ACA_NIG,S50,chew_herbivory,Savanna,3,0.0043513513513513515,0.5105540540540541,0.8522802466848416
ACA_NIG,S52,sap_miner_herbivory,Savanna,1,0,1.5383181818181817,0
ACA_NIG,S52,chew_herbivory,Savanna,1,0.03465909090909091,1.5383181818181817,2.253050852465798
ACA_NIG,S55,sap_miner_herbivory,Savanna,1,0.001888888888888889,0.5506111111111112,0.34305317324185247
ACA_NIG,S55,sap_miner_herbivory,Savanna,2,0.0019090909090909091,0.9284545454545454,0.20562028786840303
ACA_NIG,S55,sap_miner_herbivory,Savanna,3,0.028,3.1536875,0.8878495412116767
ACA_NIG,S55,chew_herbivory,Savanna,1,0.0015,0.5506111111111112,0.27242457875088283
ACA_NIG,S55,chew_herbivory,Savanna,2,0.0015454545454545454,0.9284545454545454,0.16645451875061196
ACA_NIG,S55,chew_herbivory,Savanna,3,0.160875,3.1536875,5.101171247943874
ACA_NIL,S1,sap_miner_herbivory,Savanna,1,0,0.9863076923076922,0
ACA_NIL,S1,sap_miner_herbivory,Savanna,2,0,3.2632857142857143,0
ACA_NIL,S1,sap_miner_herbivory,Savanna,3,0,0.02120754716981132,0
ACA_NIL,S1,chew_herbivory,Savanna,1,0.01823076923076923,0.9863076923076922,1.8483855872718766
ACA_NIL,S1,chew_herbivory,Savanna,2,0.06557142857142857,3.2632857142857143,2.009368296633542
ACA_NIL,S1,chew_herbivory,Savanna,3,0,0.02120754716981132,0
ACA_NIL,S11,sap_miner_herbivory,Savanna,1,0,4.0169999999999995,0
ACA_NIL,S11,sap_miner_herbivory,Savanna,2,0,0.41495,0
ACA_NIL,S11,chew_herbivory,Savanna,1,0.08133333333333333,4.0169999999999995,2.0247282383204714
ACA_NIL,S11,chew_herbivory,Savanna,2,0.034050000000000004,0.41495,8.205807928666106
ACA_NIL,S13,sap_miner_herbivory,Savanna,1,0,0.12955555555555556,0
ACA_NIL,S13,sap_miner_herbivory,Savanna,2,0,0.07104545454545455,0
ACA_NIL,S13,chew_herbivory,Savanna,1,0.007611111111111112,0.12955555555555556,5.874785591766724
