species,site,leaf_age,side,habitat,individual,herbivory_percentage_median,herbivory_percentage_mean
CEL_AFR,F4,young,up,Forest,3,0.387311902,0.52135461
CEL_AFR,F6,old,low,Forest,1,7.164324024,15.42454604
CEL_AFR,F6,old,low,Forest,2,0.076159237,4.006699476
CEL_AFR,F6,old,low,Forest,3,0.302157429,0.617540308
CEL_AFR,F6,old,up,Forest,1,16.13819688,18.31512856
CEL_AFR,F6,old,up,Forest,2,0.071037142,12.84306573
CEL_AFR,F6,old,up,Forest,3,0.156358582,0.817935251
CEL_AFR,F6,young,up,Forest,2,0.684438697,0.684438697
CEL_AFR,F6,young,up,Forest,3,0.208768267,0.241702391
CHA_ARI,F1,old,low,Forest,1,0.034281774,0.102577766
CHA_ARI,F1,old,low,Forest,2,0.188240505,2.18041387
CHA_ARI,F1,old,low,Forest,3,0.036597289,1.701800113
CHA_ARI,F1,old,up,Forest,1,0.046063375,2.87583424
CHA_ARI,F1,old,up,Forest,2,0.013079444,0.017813264
CHA_ARI,F1,old,up,Forest,3,0.038885508,0.032044053
CHA_ARI,F1,young,up,Forest,1,0.158982512,0.170714499
CHA_ARI,F1,young,up,Forest,2,0.103519669,0.824455279
CHA_ARI,F1,young,up,Forest,3,0.170621268,0.506559655
CHA_ARI,F3,old,low,Forest,1,3.795534665,3.31810795
CHA_ARI,F3,old,up,Forest,1,0.116211505,0.488079851
CHA_ARI,F3,old,up,Forest,2,0.542638232,0.553068802
CHA_ARI,F3,young,up,Forest,1,0.265677726,3.206747764
CHA_ARI,F3,young,up,Forest,2,0.364942854,0.756410931
CHA_ARI,F3,young,up,Forest,3,0.339256474,4.660412444
CHA_ARI,F4,old,low,Forest,1,0.062292359,1.235121174
CHA_ARI,F4,old,low,Forest,2,17.60129982,28.96811906
CHA_ARI,F4,old,low,Forest,3,0.121241455,4.806100149
CHA_ARI,F4,old,up,Forest,1,0.04783926,6.554513629
CHA_ARI,F4,old,up,Forest,2,33.47668137,30.93648001
CHA_ARI,F4,old,up,Forest,3,0.019642506,0.069160847
CHA_ARI,F4,young,up,Forest,1,2.694137308,2.694137308
CHA_ARI,F4,young,up,Forest,3,2.709341699,2.709341699
CHA_ARI,F6,old,low,Forest,1,0.060642814,2.481264993
CHA_ARI,F6,old,low,Forest,2,0.120187815,3.783325908
CHA_ARI,F6,old,up,Forest,1,0.097370983,3.173706338
CHA_ARI,F6,old,up,Forest,2,0.046239211,1.496203919
CHA_ARI,F6,young,up,Forest,1,0.277777778,0.315200006
CHA_ARI,F6,young,up,Forest,2,0.166251039,0.188640562
COM_MOL,S1,old,low,Savanna,1,23.22135482,28.89062663
COM_MOL,S1,old,low,Savanna,2,4.169960474,9.028369155
COM_MOL,S1,old,low,Savanna,3,0.541701235,1.771604239
COM_MOL,S1,old,up,Savanna,1,5.018571378,17.77837122
COM_MOL,S1,old,up,Savanna,2,1.862063907,11.50422095
COM_MOL,S1,old,up,Savanna,3,0.864049213,15.71944084
COM_MOL,S1,young,up,Savanna,1,6.574111882,6.450845869
COM_MOL,S1,young,up,Savanna,2,2.786573781,11.59678289
COM_MOL,S1,young,up,Savanna,3,7.05625415,15.86240355
COM_MOL,S46,old,low,Savanna,1,0.191928916,0.178321658
COM_MOL,S46,old,low,Savanna,2,2.111888112,3.896213943
COM_MOL,S46,old,low,Savanna,3,1.133427397,1.133427397
COM_MOL,S46,old,up,Savanna,1,1.067283415,1.119834831
COM_MOL,S46,old,up,Savanna,2,2.286719437,4.79812311
COM_MOL,S46,old,up,Savanna,3,0.836496911,4.373184324
COM_MOL,S46,young,up,Savanna,1,0.92142421,1.159089014
COM_MOL,S46,young,up,Savanna,2,0.285170002,0.676959177
COM_MOL,S46,young,up,Savanna,3,0.744287066,0.953487695
COM_MOL,S8,old,low,Savanna,1,6.253190403,8.000434507
COM_MOL,S8,old,up,Savanna,1,3.590981592,11.53602788
COM_MOL,S8,young,up,Savanna,1,1.004084411,2.355053885
COR_CAF,S13,old,low,Savanna,1,2.631365004,5.542916711
COR_CAF,S13,old,up,Savanna,1,0.946979771,4.485284556
COR_CAF,S13,young,up,Savanna,1,0.255180513,2.343652608
COR_CAF,S19,old,low,Savanna,1,2.835567494,3.209611244
COR_CAF,S19,old,low,Savanna,2,0.007492051,1.104855778
COR_CAF,S19,old,low,Savanna,3,0.234893271,3.712182289
COR_CAF,S19,old,up,Savanna,1,0.656418215,2.144935184
COR_CAF,S19,old,up,Savanna,2,0.0449191,1.207848931
COR_CAF,S19,old,up,Savanna,3,0.627591635,5.7943321
COR_CAF,S19,young,up,Savanna,1,0.835231587,11.20934145
COR_CAF,S19,young,up,Savanna,2,1.110962567,1.114423624
COR_CAF,S22,old,low,Savanna,1,51.14117156,50.97174201
COR_CAF,S22,old,up,Savanna,1,51.21895299,55.44804068
COR_CAF,S22,young,up,Savanna,1,51.2973534,57.50734324
COR_CAF,S30,old,low,Savanna,2,0.836189171,2.926741331
COR_CAF,S30,old,up,Savanna,1,8.121425126,11.32817145
COR_CAF,S30,old,up,Savanna,2,8.264069999,8.992799544
COR_CAF,S30,old,up,Savanna,3,3.638688721,9.751913681
COR_CAF,S30,young,up,Savanna,1,0.270377736,6.511298377
